timestamp,cmd_pos,cmd_vel,cmd_tau,act_pos,act_vel,act_current,temperature
1782294203.1675706,0.0,5000,0.0,28.71512170045744,-26,-0.00293040293040292,173
1782294203.1954925,0.0,5000,0.0,28.71512170045744,-18,-0.00879120879120876,174
1782294203.2235029,0.0,5000,0.0,31.833704707314034,621,0.7413919413919405,175
1782294203.2505147,0.0,5000,0.0,35.32563920090691,398,0.03809523809523796,174
1782294203.2776306,0.0,5000,0.0,38.839535546660855,703,0.43663003663003686,174
1782294203.304884,0.0,5000,0.0,41.93615670135638,621,0.788278388278389,174
1782294203.3320181,0.0,5000,0.0,45.12062526469588,390,0.23150183150183068,174
1782294203.3651395,0.0,5000,0.0,48.6564834626108,569,0.7413919413919405,174
1782294203.3925486,0.0,5000,0.0,52.03860869539883,398,0.05567765567765548,174
1782294203.4198072,0.0,5000,0.0,56.87021617081046,785,0.19633699633699564,171
1782294203.4473438,0.0,5000,0.0,60.07664658631083,621,0.6945054945054938,171
1782294203.475153,0.0,5000,0.0,63.327000706133134,368,0.2490842490842482,174
1782294203.502583,0.0,5000,0.0,66.81893519972611,561,0.7648351648351657,176
1782294203.5295923,0.0,5000,0.0,70.28890784115802,413,0.04981684981684964,174
1782294203.5573123,0.0,5000,0.0,73.89065159555585,762,0.36043956043956094,174
1782294203.5843291,0.0,5000,0.0,77.1849294197001,591,0.6358974358974354,174
1782294203.6113517,0.0,5000,0.0,80.45724539168339,398,0.1904761904761898,174
1782294203.6384797,0.0,5000,0.0,83.97114173743722,606,0.753113553113554,176
1782294203.6653442,0.0,5000,0.0,87.39719067454729,361,0.284249084249085,174
1782294203.6922114,0.0,5000,0.0,90.88912516814027,725,0.37802197802197846,174
1782294203.7190032,0.0,5000,0.0,94.00770817499676,614,0.6476190476190471,175
1782294203.751809,0.0,5000,0.0,97.28002414698004,398,0.17289377289377228,174
1782294203.7788472,0.0,5000,0.0,100.79392049273399,569,0.7062271062271055,174
1782294203.8057587,0.0,5000,0.0,104.08819831687825,390,0.12600732600732556,175
1782294203.8326976,0.0,5000,0.0,107.4483616975054,703,0.4424908424908427,174
1782294203.8596282,0.0,5000,0.0,110.54498285220093,561,0.7413919413919405,174
1782294203.886519,0.0,5000,0.0,113.79533697202324,435,0.23150183150183068,174
1782294203.9140167,0.0,5000,0.0,118.51713518663011,777,0.38974358974359014,174
1782294203.94201,0.0,5000,0.0,121.89926041941814,435,0.09670329670329636,174
1782294203.9767292,0.0,5000,0.0,125.30334750436724,755,0.4249084249084252,174
1782294204.0043166,0.0,5000,0.0,128.3780068069019,584,0.6534798534798529,174
1782294204.0320377,0.0,5000,0.0,131.65032277888517,405,0.17289377289377228,174
1782294204.0595918,0.0,5000,0.0,135.14225727247805,569,0.6827838827838821,175
1782294204.0876799,0.0,5000,0.0,138.54634435742716,413,0.08498168498168468,174
1782294204.116939,0.0,5000,0.0,141.99435514669818,725,0.43663003663003686,174
1782294204.144211,0.0,5000,0.0,145.1788237100376,614,0.7003663003662997,174
1782294204.1726935,0.0,5000,0.0,148.45113968202088,405,0.26080586080586166,174
1782294204.200285,0.0,5000,0.0,153.78786975713462,591,0.6710622710622705,175
1782294204.2276728,0.0,5000,0.0,157.30176610288854,457,0.03223443223443212,174
1782294204.255262,0.0,5000,0.0,160.8156624486424,762,0.36043956043956094,174
1782294204.2838118,0.0,5000,0.0,164.0660165684647,621,0.688644688644688,174
1782294204.311083,0.0,5000,0.0,167.31637068828712,398,0.24322344322344236,174
1782294204.3379114,0.0,5000,0.0,171.0279237034896,628,0.723809523809523,175
1782294204.3726737,0.0,5000,0.0,174.91517153597982,435,0.06153846153846132,174
1782294204.4006248,0.0,5000,0.0,178.4729915860556,740,0.3663003663003668,174
1782294204.4279327,0.0,5000,0.0,181.63549829723414,591,0.7355311355311347,175
1782294204.4549048,0.0,5000,0.0,185.149394642988,420,0.4014652014652018,174
1782294204.482174,0.0,5000,0.0,188.72917654522473,636,0.7120879120879113,174
1782294204.5101852,0.0,5000,0.0,192.1552254823348,472,0.0439560439560438,174
1782294204.537669,0.0,5000,0.0,195.69108368024962,718,0.3721611721611726,174
1782294204.5646102,0.0,5000,0.0,199.07320891303775,681,0.7003663003662997,174
1782294204.6000237,0.0,5000,0.0,202.43337229366472,383,0.17875457875457812,174
1782294204.6279488,0.0,5000,0.0,206.03511604806275,532,0.7179487179487172,174
1782294204.6550162,0.0,5000,0.0,209.37331757652893,361,0.09670329670329636,174
1782294204.6824028,0.0,5000,0.0,212.77740466147782,695,0.38974358974359014,174
1782294204.7097006,0.0,5000,0.0,217.74078324985518,658,0.6593406593406588,174
1782294204.7367084,0.0,5000,0.0,221.01309922183844,346,0.21391941391941316,173
1782294204.7641106,0.0,5000,0.0,224.57091927191433,547,0.7706959706959715,174
1782294204.7974906,0.0,5000,0.0,227.9310826525415,405,0.073260073260073,174
1782294204.824607,0.0,5000,0.0,231.3351697374906,718,0.3721611721611726,174
1782294204.8516784,0.0,5000,0.0,234.6733712659568,666,0.577289377289377,175
1782294204.8790731,0.0,5000,0.0,238.011572794423,346,0.18461538461538396,173
